name
State of Alabama
State of Alaska
State of Arizona
State of Arkansas
State of California
State of Colorado
State of Connecticut
State of Delaware
District of Columbia
State of Florida
State of Georgia
State of Hawaii
State of Idaho
State of Illinois
State of Indiana
State of Iowa
State of Kansas
State of Kentucky
State of Louisiana
State of Maine
State of Maryland
State of Massachusetts
State of Michigan
State of Minnesota
State of Mississippi
State of Missouri
State of Montana
State of Nebraska
State of Nevada
Dlocal
Sylvamo
Amicus Therapeutics
Walker and Dunlop
Cvb Financial
Asgn
Methanex
Huntsman
Hutchmed China
Ats Ats
Boston Beer Company
Urban Edge Properties
Olin
St Joe Company
Eldorado Gold
Peloton Interactive
Under Armour
Resideo Technologies
United Parks and Resorts
Bankunited Unit
Ashland
Patterson Companies
Catalyst Pharmaceuticals
Hudbay Minerals
Acadia Healthcare Company
Capri
Concentrix
Bts Public Company Limitedadr
Acv Auctions
Azz
Xenon Pharmaceuticals
Nexgen Energy
Recursion Pharmaceuticals
California Water Service Warrant
Vicor
Simmons First National
Pricesmart
Stoneco
Rumble
Mister Car Wash Warrant
Lemonade
Sasol
Greif
Baldwin Insurance
Genedx
Seaboard
Manpowergroup
Park National Oh
Cheesecake Factory
Vnet
Quidelortho
Avis Budget
Newell Brands
Veracyte
Globalstar
Huron Consulting
Green Brick Partners
Cushman and Wakefield
Five9
Blackberry
First Majestic Silver
Rush Street Interactive
Bancorp
Lci Industries
Bausch Health Companies
Gcm Grosvenor
United States Lime and Minerals
Enova International
First Financial Bancorp Oh
Moonlake Immunotherapeutics
Jandj Snack Foods
Mercury Systems
Atlanta Braves
Liberty Energy
United Breweries Company Unit
Terex
Marriott Vacations Worldwide
Curbline Properties
Oddity Tech
Marex
Bread Financial
Ringcentral
Impinj
First Merchants
Par Technology
First Advantage
Goodyear Tire and Rubber Company Oh
Warrior Met Coal
Joyy
Empire State Realty Op
Sweetgreen
Lufax Holding Unit
Innospec
Formfactor
Banc Of California
Chefs Warehouse
Doubleverify
Synaptics
Hub
Helmerich and Payne
Air Franceklm
Ipg Photonics
Wns
Vericel
New Fortress Energy
Trinity Industries
Pennon Adr
Weibo
Enerpac Tool
Polaris
Manchester United Unit
Edgewise Therapeutics
Park Hotels and Resorts
Lionsgate Studios
Calix
Aircastle
Ambarella
Wafd
Seacoast Banking Of Florida
Viavi Solutions
Evertec
Transocean
American Eagle Outfitters
Zim Integrated Shipping Services
Melco Resorts and Entertainment
Protagonist Therapeutics
Nihon Kohdenadr
Provident Financial Services
Transmedics
Quaker Chemical
Banner
Fb Financial
Progress Software
Quantumscape
Valaris
Forvia Seadr
Openlane
Albany International
Wesbanco
Appian
Vse
Ttm Technologies
Pbf Energy
Inventrust Properties
Flowco
Cosan
Sibanye Stillwater Warrant
Renew Energy Global Warrant
Select Medical
Jetblue Airways Unit
Sable Offshore
Aar
Visteon
Renasant
Marfrig Global Foods
Delek Logistics Partners
Livanova
Mirum Pharmaceuticals
Pacific Premier Bancorp
Arrowhead Pharmaceuticals
Sonic Automotive
Newamsterdam Pharma Company
Agilysys
Inter and Company
Orla Mining
Polestar Automotive Holding Uk
Vishay Intertechnology
Endo
Bitdeer Technologies
Nbt Bancorp
Diodes Del
Kindercare Learning Companies
Steven Madden
Trustmark
Denali Therapeutics
Twist Bioscience
Teradata
Cleanspark
Yelp
Enterprise Financial Services
Pagseguro Digital
Sixth Street Specialty Lending
Hni
Energizer
Enovis
Federal Agricultural Mortgage
Stock Yards Bancorp
Lions Gate Entertainment Cn
Rigetti Computing
Tootsie Roll Industries
Minerals Technologies
Standex International Corpde
Ardent Health Partners
Ligand Pharmaceuticals
Skyward Specialty Insurance
Dream Finders Homes
Signet Jewelers
Beam Therapeutics
Hafnia
Alamo
Sprinklr
Advance Auto Parts
New Gold
Digitalbridge
Sunstone Hotel Investors
Hawkins
Soleno Therapeutics
Magnite
Enlight Renewable Energy
Solaris Energy Infrastructure
Uranium Energy
Century Communities
Hanesbrands
Chemours Company
Tidewater Warrant
Ermenegildo Zegna
Oceaneering International
Central Garden and Pet Company
Finvolution
Hilltop
Lemaitre Vascular
Worthington Enterprises
Dana
John Wiley and Sons
Marqeta
Immunitybio
Oxford Lane Capital
Neogen
Tripadvisor
Vesta Real Estate Sab Cv
Criteo
Pacs
Atkore
Everus Construction
Hesai
Upwork
Root
Brookfield Business
Centessa Pharmaceuticals
Novocure
Garrett Motion
Onespaworld Warrant
Hamilton Insurance
Werner Enterprises
Spectrum Brands
Myr
Strategic Education
Extreme Networks
Corecivic Warrant
Golden Ocean
Mesoblast
Gibraltar Industries
Innovative Industrial Properties
Buckle
Scorpio Tankers
Stewart Information Services
National Steel Company
Triumph
Hillenbrand
Kulicke and Soffa Industries
Perella Weinberg Partners
Mabuchi Motor Company Ltdadr
Liveramp
Kymera Therapeutics
Weis Markets
Tuya
Ncr Atleos
Phinia
Iqiyi
Pitney Bowes
Nextdecade
Genius Sports
Ssr Mining
Playtika Holding
Global Partners
Prospect Capital
Atricure
Agios Pharmaceuticals
Premier
Cg Oncology
Ofg Bancorp
Global Net Lease
Goodrx
Cmbtech
Certara
Powell Industries
Victorias Secret and Company
Azenta
Hawaiian Electric Industries
Lightspeed Commerce
Belite Bio
Hillman Solutions
Disc Medicine
Veris Residential
Harmony Biosciences
Progyny
Clover Health Investments
Vita Coco Company
Silicon Motion Technology
Csg Systems International
Nuscale Power
Janux Therapeutics
Merchants Bancorp
Brookfield Business Partners Unit
Sjw Warrant
Sandstorm Gold
Vera Therapeutics
Pathward Financial
Conmed
Nicolet Bankshares
Lazboy
Materion
Central Puerto Unit
Diginex
Evercommerce
Star Bulk Carriers
Biocryst Pharmaceuticals
Rapid7
Revolve
Travere Therapeutics
Ameren Illinois Company
Apogee Therapeutics
Aris Water Solutions
Axcelis Technologies
Cvr Energy
Jamf Holding
Alphatec
Legalzoomcom
Omnicell
Supernus Pharmaceuticals
United Natural Foods
Arcbest
Fidelis Insurance
Integral Ad Science Holding
Siriuspoint
City Holding Company
Galapagos
Alpha Metallurgical Resources
Bw Lpg
Integra Lifesciences
Edenor
Diamondrock Hospitality Company
Horace Mann Educators
Patria Investments
First Bancorp Nc
Addus Homecare
Ardagh Metal Packaging
Lakeland Financial
Torm
Getty Realty Md
Northwest Natural Holding Company
Ziff Davis
Greenbrier Companies
Masterbrand
Columbia Financial
Wk Kellogg Company
Perdoceo Education
Ideaya Biosciences
Dynavax Technologies
Mach Natural Resources
Monarch Casino and Resort
Oi Glass
Dht
Iren
Purecycle Technologies
Foot Locker
Eplus
World Kinect
Bank Of Nt Butterfield and Son
Pc Connection
Ufp Technologies
Prokidney
Ss Innovations International
Century Aluminum Company
Argan
Kenon
First Commonwealth Financial Pa
Ascentage Pharma International
Customers Bancorp
Kennametal
Green Thumb Industries
Lgi Homes
Himax Technologies
Teladoc Health
Tricontinental
Semrush
Playa Hotels and Resorts
Tarsus Pharmaceuticals
Diebold Nixdorf
Ingevity
Stagwell Warrant
Compass Diversified
Madison Square Garden Entertainment
Adeia
Bkv
Cadeler As
Genesis Energy
Amplitude
International Seaways Warrant
Ltc Properties
Evotec
Despegarcom
Northwest Bancshares
Baytex Energy
Dnow Warrant
Arcos Dorados
Peabody Energy Unit
Innodata
1St Source
Constellium
Outokumpu Oy
Pagerduty
Frontier
Opera
Kiniksa Pharmaceuticals International
National Bank
Tennant Company
Schrodinger
Sprout Social
Treehouse Foods
Enovix
Mannkind
Triumph Financial
Kimbell Royalty Partners
Netscout Systems
Sezzle
Applied Digital
Braskem
Sonos
Stellar Bancorp
Avidxchange
Umh Properties
Wave Life Sciences
Grid Dynamics
Sabre
Lucky Strike Entertainment
Acm Research
Sandt Bancorp
Foreign Trade Bank Of Latin America
Vestis
Arcutis Biotherapeutics
Elme Communities
Highpeak Energy
Sapiens International N V
Carters
Mag Silver
Exp World
Acuren
Coastal Financial
Adapthealth
Talos Energy
Phreesia
Perimeter Solutions
A10 Networks
German American Bancorp
Edgewell Personal Care Company
Hci
Danaos
Apple Isports
Ladder Capital
Marcus and Millichap
Goldman Sachs Bdc
Rev
Afya
Universal Technical Institute
Air Transport Services
Formula Systems 1985
Super Hi International Holding
Ncr Voyix
Fresh Del Monte Produce
Global Blue Holding
Seadrill
Papa Johns International
Icf International
Two Harbors Investment
Tutor Perini
National Healthcare
Upbound
Navient
Immunocore
Millerknoll
Armour Residential Reit
V2X
andersons
Endava
Trico Bancshares
Dyne Therapeutics
Cipher Mining
Xenia Hotels and Resorts
Centuri
Sandy Spring Bancorp
Live Oak Bancshares
Vital Farms
P10
Terawulf
Veritex
China Resources Cement Limitedadr
Centrus Energy Unit
Lexinfintech
Fs Credit Opportunities
Trupanion
Lindsay
Dole
Loma Negra Compania Industrial Argentina Sociedad Anonima
Knowles
Tandem Diabetes Care
Verint Systems
Udemy
Lendingclub
Uniti
Apollo Commercial Real Estate Finance
Karooooo
Sphere Entertainment Company
Sunrun
Rogers
Cable One
Westamerica Bancorporation
Lotus Technology
Plug Power
Select Water Solutions
Meridianlink
First Busey
Commscope Holding Company
Nayax
Dorchester Minerals
Willis Lease Finance
Nable
Benchmark Electronics
Donnelley Financial Solutions
Dxp Enterprises
Central Securities
Suburban Propane Partners
Ehang
Fortuna Mining
Steelcase
Hut 8
Amc Entertainment
Imax
Grupo Supervielle
Syndax Pharmaceuticals
Iovance Biotherapeutics
Dime Community Bancshares Ny
Wisdomtree Warrant
Flywire Warrant
Distribution Solutions
Cadre
Kennedywilson Warrant
Natural Resource Partners
Inmode
Universal Va
Stepan Company
Soho House and Company
89Bio
Republic Bancorp Ky
Celldex Therapeutics
Structure Therapeutics
Dwave Quantum
Liberty Latin America
Oaktree Specialty Lending
Worthington Steel
Berkshire Hills Bancorp
Alexander and Baldwin
Hope Bancorp
Teekay Tankers
Virtus Investment Partners
Ani Pharmaceuticals
Altice Usa
Allegiant Travel Company
Amphastar Pharmaceuticals
Cra International
Cts
Up Fintech Holding
Nextnav
Safehold
Planet Labs Pbc
Xometry
Novavax
Midcap Financial Investment
Apartment Investment and Management Company
Qcr
Arlo Technologies
Photronics
Arhaus
Employers
Viant Technology
Adient
Saul Centers
Kohls
Liquidia
Ellington Financial
Byline Bancorp
Expro
Jbg Smith Properties
New Mountain Finance
Astrana Health
Sigma Lithium
Pediatrix Medical
Turning Point Brands
Establishment Labs
Atlantis Glory
Neogenomics
Hello
Grail
Denison Mines
Ardelyx
Bridge Investment
Helios Technologies
Daqo New Energy
Intuitive Machines
Coursera
Easterly Government Properties
Netstreit
Agilon Health
Hertz Global
Mimedx
Brightview
Helen Of Troy
Bigbearai
Veeco Instruments
Kayne anderson Bdc
First Watch Restaurant
Ihs Holding
Harmonic
Helix Energy Solutions
10X Genomics
Guardian Pharmacy Services
Leggett and Platt
Bain Capital Specialty Finance
Origin Bancorp
U S Physical Therapy
Vermilion Energy
Costamare
Centerra Gold Unit
Kosmos Energy
Cannae
Indivior
Dave Incde
Idt
Utz Brands
General American Investors Company
Adaptive Biotechnologies
Everi
Ero Copper
Calumet
Navios Maritime Partners
Opko Health
Taskus
Prog
Caredx
Marten Transport
Flex Lng
Paysafe
Dynex Capital
Biolife Solutions
Camping World
Cricut
Capital Southwest
Corsair Gaming
Sfl
Maxlinear
Eve Holding
Centerspace
Preferred Bank
Composecure
Innovex International
Viridian Therapeutics Incde
G Iii Apparel
Ingles Markets
Exodus Movement
International General Insurance
Wolverine World Wide Warrant
Brookdale Senior Living
Chimera Investment
Winmark
Fox Factory Holding
Webtoon Entertainment
Peoples Bancorp
Nv5 Global
Pros
Cimpress
Koza Altin Isletmeleri Asadr
Rpc
Arvinas
Interface
Topgolf Callaway Brands
Winnebago Industries
Bowhead Specialty Warrant
Safety Insurance
Kornit Digital
Kaiser Aluminum Unit
Firstsun Capital Bancorp
First Bancshares Ms
Olo
Janus International
Aurinia Pharmaceuticals
Arcus Biosciences
Tronox
Innoviva
Geron
Rxsight
Skeena Resources
Forestar
Grocery Outlet Holding
Barings Bdc
Smith Douglas Homes
Alexanders
Paragon 28
Pulse Biosciences
Digi International
Adecoagro
Pursuit Attractions and Hospitality Unit
Irsa Investments and Representations
Sprott
Enfusion
Youdao
Vir Biotechnology
Blue Bird
Spyre Therapeutics
Mfa Financial
Amtd Idea
Savers Value Village
Capital Clean Energy Carriers
Quinstreet
Nurix Therapeutics
Bank First
Oppfi
Pacira Biosciences
Seabridge Gold
Viasat
Artivion
Bel Fuse Nj
Profrac Holding
Ultra Clean
Krispy Kreme
Oceanfirst Financial
Brookline Bancorp
Jinkosolar Holding Company
Paramount
Grupo Televisa Sab
Barrett Business Services
Xencor
Kuber Resources
Novagold Resources
Techtarget
Trinity Capital
Evolent Health
Apogee Enterprises
Navigator
Dmarket Electronic Services and Trading
Nika Pharmaceuticals
Nano Nuclear Energy
Healthstream
Middlesex Water Company
Penguin Solutions
Entergy Arkansas
National Vision
Delek Us
Bristow
Docebo
Pennantpark Floating Rate Capital
Liquidity Services
Mrc Global
Gorman Rupp Company
Enliven Therapeutics
Intellia Therapeutics
Eagle Point Credit Company
Drdgold
Moneylion
Phibro Animal Health
Ars Pharmaceuticals
Amerisafe
Gentherm
Tompkins Financial
Gyre Therapeutics
Kronos Worldwide
Amalgamated Financial
Connectone Bancorp
Thermon
Natural Grocers By Vitamin Cottage
Amerant Bancorp
Ichor
Real Brokerage
Retinalgenix Technologies
Cbl and Associates Properties
Rocket Pharmaceuticals
Taboolacom
Fubotv Fl
Ciandt
Fluence Energy
Oxford Industries
Ocular Therapeutix
Amn Healthcare Services
Slr Investment
Burke and Herbert Financial Services
Myriad Genetics
Kforce
Endeavour Silver
Fastly
Custom Truck One Source
Oculis Holding
Enerflex
Cracker Barrel Old Country Store
Canada Goose
Vimeo
Proto Labs
Fortrea
Gogo
Southside Bancshares
Sinclair
Bgm
Armada Hoffler Properties
Nuveen Churchill Direct Lending
Replimune
Evolus
Acadian Asset Management
Beta Bionics
Unitil
Harrow Warrant
Everquote
Fiverr International
Accel Entertainment
Ibotta
Murano Global Investments
Vital Energy
American Woodmark
Couchbase
Curaleaf
First Mid Bancshares
Radware
Olaplex
Portillos
Crossamerica Partners
Sally Beauty
Collegium Pharmaceutical
Carlyle Secured Lending
Quanex Building Products
Abrdn Healthcare Investors
Global Industrial Company
Coincheck
Myt Netherlands Parent Bv
Opendoor Technologies
Applied Optoelectronics
Eos Energy Enterprises
Mission Produce
Univest Financial
Ceribell
Limbach
Weave Communications
Vivid Seats
Gaotu Techedu Unit
Day One Biopharmaceuticals
Zymeworks
Napco Security Technologies
Dorian Lpg
Pagaya Technologies
Ceco Environmental
Ducommun
Angi
Riskified
Scansource
Powerfleet
Heritage Financial Wa
Axogen
Golden Entertainment
Herbalife
I3 Verticals
Adtran
Encore Capital
Westlake Chemical Partners
Tiptree
Huya
Trimas
Pdf Solutions
Pharvaris
Xpel
Cohu Unit
Yext
Bjs Restaurants
Getty Images
Energy Recovery
Ballys
Vtex
Solaredge Technologies
Carscom
Hackett
Array Technologies
Proassurance
Sanfilippo John B and Son
Lz Technology
Sky Harbour
Telesat
Old Second Bancorp
Nb Bancorp
Alpha and Omega Semiconductor
Emerald Holding
Redwire Warrant
Heidrick and Struggles International
Sun Country Airlines
Ready Capital
Mac Copper
Staar Surgical Company
Bitfufu Unit
Wheels Up Experience
Cogent Biosciences
Five Point
Xplr Infrastructure
Propetro Holding
Heartland Express
Prothena Public Company
Plymouth Industrial Reit
Energy Fuels Unit
Wolfspeed
Xerox
Trulieve Cannabis
American Superconductor
Brightspire Capital
Pra
Astec Industries
Cvr Partners
Steel Partners
Ituran Location and Control
Ryerson Holding
Altus Power
Orchid Island Capital
Hysteryale
Ai Unlimited
Aveanna Healthcare
Adstec Energy Public Company
Associated Capital
Ribbon Communications
Capitol Federal Financial
Fidus Investment
Guild Company
Uxin
Central Pacific Financial
Pennant
National Energy Services Reunited
Hbt Financial
Business First Bancshares
Bumble
Blend Labs
Mercantile Bank
Redfin
Healthcare Services
Maravai Lifesciences
Silvercorp Metals
Ecovyst
First Community Bankshares Va
Opthea
Atlanticus
Txo Partners
Diversified Energy Company
Metrocity Bankshares
Global Ship Lease
Ceva
Mitsui Eands Company Ltdadr
Suncoke Energy
Cronos
Advantage Solutions
Arrivent Biopharma
Abacus Life
Similarweb
Nerdwallet
Embecta
Par Pacific
Quantum Computing
Evgo
Immunome
Figs
Vitesse Energy
Matthews International Warrant
Priority Technology
Dave and Busters Entertainment
Orion
Equity Bancshares
World Acceptance
Ivanhoe Electric
Sibone
Selectquote
Ezcorp Warrant
Mesa Laboratories Company
Horizon Bancorp In
Camden National
Farmers and Merchants Bancorp
Telus International Cda
Stratasys
Bloomin Brands
Kura Sushi Usa
Avadel Pharmaceuticals
Noah
Ecarx
Butterfly Network
Granite Ridge Resources
Shutterstock
Bicycle Therapeutics
Nuveen Select Tax Free Income Portfolio
Cresud
Advansix
Netgear
Anavex Life Sciences
Gladstone Commercial
Controladora Vuela Compania Aviacion Sab Cv
Power Solutions International
Hanmi Financial
Site Centers
Anterix
Transcat
Thryv
Ethan Allen Interiors
Summit Hotel Properties
Algoma Steel
Owens and Minor Incva
Deluxe
Cantaloupe
National Presto Industries
United Fire
Independent Bank Mi
Therealreal
Abcellera Biologics
Magnera
Great Southern Bancorp
Hippo
Eagle Bancorp
Astronics
Curevac
Daktronics Sd
Organogenesis
Porch
Sunopta
Avanos Medical
Whitestone Reit
Blackrock Tcp Capital
Biglari
Ares Acquisition Ii
Universal Logistics
Nexa Resources
Mgp Ingredients
Oppenheimer
Spartannash Company
Chipmos Technologies
E2Open Parent
Jack In The Box
Montrose Environmental
Beazer Homes Usa
Dingdong Cayman
Rupert Resources
Iradimed
Crescent Capital Bdc
Repay
Petco Health and Wellness Company
Okeanis Eco Tankers
Bicara Therapeutics
China Yuchai International
Pharming
Forward Air
Cion Investment
Covenant Logistics
Sturm Ruger and Company
Metropolitan Bank Holding
Orthofix Medical
Arbutus Biopharma
Iperionx
Core Laboratories
Bioventus
Strawberry Fields Reit Warrant
Gigacloud Technology
Canadian Solar
Cognyte Software
Southern Missouri Bancorp
Torrid
Oildri Of America
Esquire Financial
Hills Bancorporation
Rex American Resources
Five Star Bancorp
Latham
Orrstown Financial Services
Bluelinx
Xponential Fitness
Sinovac Biotech
Taseko Mines
Malibu Boats Unit
Hometrust Bancshares
Heritage Commerce
Praxis Precision Medicines
Tilray Brands
Funko
Ferroglobe
Gladstone Capital
Midwestone Financial
Precision Drilling
Horizon Kinetics Holding
Miller Industries Tn
Onespan
Ngl Energy Partners
Aris Mining
Nextdoor
Ftai Infrastructure
Capital City Bank
Riley Exploration Permian
Capricor Therapeutics
Velocity Financial
Universal Insurance
Trustco Bank N Y
Vinci Partners Investments
Valneva
Yalla
Global Medical Reit
Magic Software Enterprises
Preformed Line Products Company
Studio City International
Nuvation Bio
First Financial In
Atrenew
Castle Biosciences
Standard Motor Products
National Cinemedia
Amark Precious Metals
Carriage Services
Cto Realty Growth
Lindblad Expeditions
Douglas Dynamics Warrant
Scholastic
Karat Packaging
Frp
Genco Shipping and Trading
Uniqure
Clear Channel Outdoor
Aspen Aerogels
Shenandoah Telecommunications Cova
Cass Information Systems
Perpetua Resources
Crawford and Company
Entrepreneur Universe Bright
Faro Technologies
Saxon Capital
Donegal
Sionna Therapeutics
Mediaalpha
Dianthus Therapeutics
Cormedix
Smartfinancial
Legacy Housing
Lenz Therapeutics
Metallus
Hovnanian Enterprises
Shoe Carnival
Lincoln Educational Services
Borr Drilling
Westrock Coffee Company
Kura Oncology
Bitfarms
Koppers
Gorilla Technology
Gh Research
American Coastal Insurance
Simulations Plus
One Liberty Properties
American Axle and Manufacturing
Akso Health
Bingex
South Plains Financial
Tyra Biosciences
Auna
Accolade
Zkh
Usana Health Sciences
Seneca Foods
Stitch Fix
Honest Company
Byrna Technologies
Orthopediatrics
Yiren Digital
Marinemax
Ameresco
Financial Institutions
Marcus
Peapack Gladstone Financial
Ziprecruiter
Gannett Company
Xeris Biopharma
Lithium Americas
Verve Therapeutics
Ennis
Cytek Biosciences
Sana Biotechnology
Open Lending
Farmland Partners
Cross Country Healthcare
Red Violet
Conduent
Climb Global Solutions
Mid Penn Bancorp
Buildabear Workshop Warrant
Teekay
Oric Pharmaceuticals
Nowtransit
Lavoro
Farmers National Banc Oh
Bigcommerce
Ranpak
Veradigm
Senseonics
Tmc The Metals Company
Great Lakes Dredge and Dock
Eastman Kodak Company
Caleres
Target Hospitality
Kalvista Pharmaceuticals
Loandepot
Lsi Industries
Vizsla Silver
Rackspace Technology
Treace Medical Concepts
Enterprise Bancorp
Invesco Mortgage Capital
Relay Therapeutics
Insteel Industries
Monro
Varex Imaging
Bandg Foods
Suncar Technology
Cnb Financial Corppa
Mercer International
Daily Journal
Maze Therapeutics
California Bancorp Ca
Rezolve Ai
Immatics
Lendingtree
Qudian
Nordic American Tankers
Alerus Financial
Elite Pharmaceuticals
Evolv Technologies
Meiragtx
Palmer Square Capital Bdc
Pubmatic
Bar Harbor Bankshares
Guess
Harborone Bancorp
Rayonier Advanced Materials
Lsb Industries Unit
Wing Yip Food
Consensus Cloud Solutions
Capital Bancorp
Northfield Bancorp
Gladstone Investmentde
Logility Supply Chain Solutions
Jiayin
Solaris Resources
Shore Bancshares
Net Power
Titan International
Npk International
Playags
Enviri
Cementos Pacasmayo Saa
Microvast
Shoals Technologies
Reservoir Media
Northpointe Bancshares
Delcath Systems
Indie Semiconductor
Agora
Third Coast Bancshares
Doubledown Interactive Company
Precigen
Peoples Financial Services
Arko
Sbc Medical
Nexxen International
Global Indemnity
Red Cat
Gamblingcom
Greenlight Capital Re
Net Lease Office Properties
Tetra Technologies
York Water Company Warrant
Cyber App Solutions
Cullinan Therapeutics
International Money Express
Dada Nexus
Flushing Financial
Fulgent Genetics
X Financial
Smith and Wesson Brands
Asa Gold and Precious Metals
Waterdrop
Talkspace
Twfg
Omeros
Collective Mining
Pennantpark Investment
Abivax
Tsakos Energy Navigation
Ginkgo Bioworks
Tortoise Energy Infrastructure
Cartesian Therapeutics
Jeldwen Holding
Columbus Mckinnon
Nano Dimension
Unity Bancorp Nj
Anaptysbio
Alti Global
Wabash National
Outbrain
Guaranty Bancshares Tx
Autolus Therapeutics
Summit Midstream
Sonida Senior Living
Ramaco Resources
Cerence
Acnb
Glass House Brands
Agriculture and Natural Solutions Acquisition
Village Super Market
Theravance Biopharma
Mind Medicine Mindmed
Arrow Financial Warrant
Keros Therapeutics
Puretech Health
Kelly Services
Chimerix
Clearfield
Star Unit
Aa Mission Acquisition
Hudson Pacific Properties
Ambac Financial
Eqv Ventures Acquisition
North American Construction
Greene County Bancorp
Sage Therapeutics
Willdan
Mineralys Therapeutics
Northrim Bancorp
Tectonic Therapeutic
Surmodics
Valhi
Investors Title Company
Boston Omaha
Kearny Financial
Greenfire Resources
Alpha Technology
Bandwidth
Trubridge
Innovage Holding
Cslm
Sierra Bancorp
Montauk Renewables
First Business Financial Services
Zhihu
Livewire
Airjoule Technologies
Altimmune
Amtd Digital
Clean Energy Fuels
Consolidated Water Company
Serve Robotics
Canaan
Entrada Therapeutics
Navitas Semiconductor
Barings Corporate Investors
Odp
Rci Hospitality
3D Systems
Northwest Pipe Company
Arcturus Therapeutics
Enhabit
Chromadex
Acco Brands
Betterware Mexico Sapi Cv
Community Health Systems
Runway Growth Finance
Movado
Innventure
Sound Point Meridian Capital
Bleichroeder Acquisition I
Compass Minerals International
Sohucom Unit
Destiny Tech100
Stellus Capital Investment
Nathans Famous
Nabors Energy Transition Ii
Kimball Electronics
Sndl
First Foundation
Groupon
Mitek Systems
Midland States Bancorp
Hno International
Opal Fuels
Clearwater Paper Warrant
Nlight
Diamond Hill Investment
1 800 Flowers
Omniab
Perion Network
Gladstone Land
Tejon Ranch Company
Sandridge Energy
Franklin Covey Company
Wideopenwest Warrant
Scientific Energy
Skywater Technology
Limoneira Company
Gray Media
Lifezone Metals
Savara
Calavo Growers Warrant
Allient
Ouster
Blacksky Technology
Kamada
Genie Energy
Solid Biosciences
Know Labs
Bridgewater Bancshares
Zevra Therapeutics
Resolute Management
Vaalco Energy
Gravity Company
Absci
Carter Bankshares
Zjk Industrial Company
Hallador Energy Company
Versabank
Twin Hospitality
Akebia Therapeutics
Humacyte
Safe Bulkers
Urogen Pharma
Eton Pharmaceuticals
Bank Of Marin Bancorp
Bny Mellon Strategic Municipals
Waldencast
Upstream Bio
Rigel Pharmaceuticals
Eyepoint Pharmaceuticals
Stoke Therapeutics
Trevi Therapeutics
Cytodyn
Horizon Technology Finance
Geopark
Churchill Capital Ixcayman
Gilat Satellite Networks
Acacia Research
Bank7
Siga Technologies
Genesco
Pacific Biosciences Of California
Uscb Financial
Maui Land and Pineapple Company
Eco Bright Future
Red River Bancshares
Allogene Therapeutics
Home Bancorp
Evoair
Dogness International
Angiodynamics
Radius Recycling
Nu Skin Enterprises
Ooma
Standard Biotools
Nyxoah
Value Line Unit
Semler Scientific
Clearpoint Neuro
Anywhere Real Estate
Nexpoint Real Estate Finance
Ardmore Shipping
Zimvie
Emergent Biosolutions
Abrdn Life Sciences Investors
Vine Hill Capital Investment
Haverty Furniture Companies
West Bancorporation
Saratoga Investment
Lesaka Technologies
Obsidian Energy
Venu Holding Unit
Erasca
Aersale
Gpact Iii Acquisition
Mereo Biopharma
Titan Machinery
Centurion Acquisition
Maxcyte
Nam Tai Property
M3Brigade Acquisition V
Neuropace
Dine Brands Global
American Public Education
Community West Bancshares
Compass Therapeutics
Myers Industries
Givbux
Aura Biosciences
Aldeyra Therapeutics
Green Dot
Ranger Energy Services
Tamboran Resources
Brasilagro Brazilian Agricultural Real Estate Company
Mercurity Fintech Holding
Olympic Steel
Xperi
Quanterix
Green Plains
Candel Therapeutics
Omega Flex
Cpi Card
Codere Online Luxembourg
Bit Digital
Methode Electronics
Phathom Pharmaceuticals
Qdm International
Heritage Insurance
Health In Tech
Nabors Industries
Repositrak
Source Capital
Lands End
Mcewen Mining
European Wax Center
Oruka Therapeutics
Northwest Biotherapeutics
Potbelly
Bowman Consulting
Heron Therapeutics
Cohen Circle Acquisition I
Vertical Aerospace
Gdev
New Found Gold
Jjill
Jayud Global Logistics
Astria Therapeutics
Personalis
Compass Pathways
Yatsen Holding
Rare Element Resources
Newtekone Warrant
Nanox Imaging
Concrete Pumping
Spok
Northstar Healthcare Income
Arteris
Manitowoc Company Warrant
Ballard Power Systems
Brt Apartments
Gigcapital7
Mbx Biosciences
Cango
Celcuity
Sify Technologies
Rimini Street
Graham
Monte Rosa Therapeutics
Digimarc
Lithium Argentina
I80 Gold
Cool Company
Eagle Point Income Company
Ambipar Emergency Response
Digital Turbine
Matrix Service Company
Nl Industries
Park Ohio
Iochpemaxion
Definitive Healthcare
Newlake Capital Partners
Tactile Systems Technology
Ibex
Mativ
Taysha Gene Therapies
Artesian Resources
Citizens and Northern
Backblaze
Primeenergy Resources
Civista Bancshares
Tile Shop
Beyond
Americas Carmart
Weyco
National Research
Pangaea Logistics Solutions
Luxfer
Intrepid Potash
El Pollo Loco
Hain Celestial
Northern Dynasty Minerals
Pulmonx
Shyft
Haymaker Acquisition 4
Quadgraphics
Southern States Bancshares
Nve New
Voyager Acquisition Corpcayman Islands
Cvrx
Gohealth
Charging Robotics
Triplepoint Venture Growth Bdc
Alpha Teknova
Olema Pharmaceuticals
Oil States International
Regional Management
Health Catalyst
Chicago Atlantic Real Estate Finance
Blaize
Holley
Bold Eagle Acquisition
Trivago
Tourmaline Bio
Lifeway Foods
Lionheart
Nextnrg
Sim Acquisition I
Blue Ridge Bankshares
Turtle Beach
Expensify
Audiocodes
Radiant Logistics
Pioneer Bancorp Incmd
Esperion Therapeutics
Mountain Lake Acquisition
Urenergy
Engene
Gevo
Security National Financial
